P		H
0.001		-26.8423476667
2		-26.7899733333
4		-26.7394963333
6		-26.690011
8		-26.6365986667
10		-26.58638
20		-26.3409233333
40		-25.8595323333
60		-25.3913116667
80		-24.932356
100		-24.4850093333
120		-24.0478996667
140		-23.616794
160		-23.193962
180		-22.7741013333
200		-22.3630583333
220		-21.956999
240		-21.555459
260		-21.157774
280		-20.7667126667
300		-20.3815433333
320		-19.998857
340		-19.62063
360		-19.2448453333
380		-18.8732546667
400		-18.5029443333
420		-18.1397473333
440		-17.7802803333
460		-17.422069
480		-17.066577
500		-16.7160773333
520		-16.3658093333
540		-16.018821
560		-15.6743406667
580		-15.333728
600		-14.9968453333

